replicon,type,subtype,sys_beg,sys_end,protein_in_syst,genes_count,name_of_profiles_in_sys,accession_in_sys,Superkingdom,phylum,class,order,family,genus,species,sys_id
GCF_002934965.1_NZ_CP026415,BREX,BREX_I,GCF_002934965.1_NZ_CP026415_00061,GCF_002934965.1_NZ_CP026415_00067,"GCF_002934965.1_NZ_CP026415_00061,GCF_002934965.1_NZ_CP026415_00062,GCF_002934965.1_NZ_CP026415_00064,GCF_002934965.1_NZ_CP026415_00065,GCF_002934965.1_NZ_CP026415_00066,GCF_002934965.1_NZ_CP026415_00067",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","C3F34_RS18670,C3F34_RS18675,C3F34_RS18685,C3F34_RS18690,WP_005403808.1,WP_104442412.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. ACNIH2,GCF_002934965_NZ_CP026415_BREX_I_2
GCF_023546805.1_NZ_CP097480,BREX,BREX_I,GCF_023546805.1_NZ_CP097480_04059,GCF_023546805.1_NZ_CP097480_04066,"GCF_023546805.1_NZ_CP097480_04059,GCF_023546805.1_NZ_CP097480_04060,GCF_023546805.1_NZ_CP097480_04061,GCF_023546805.1_NZ_CP097480_04066",4,"BREX__brxA_DUF1819,BREX__brxL,BREX__pglZA,BREX__pglX1","WP_015155848.1,M5J74_RS20305,M5J74_RS20310,M5J74_RS20335",Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis sp. CCNUC1,GCF_023546805_NZ_CP097480_BREX_I_2
GCF_002072735.1_NZ_CP020367,BREX,BREX_VI,GCF_002072735.1_NZ_CP020367_00734,GCF_002072735.1_NZ_CP020367_00739,"GCF_002072735.1_NZ_CP020367_00734,GCF_002072735.1_NZ_CP020367_00735,GCF_002072735.1_NZ_CP020367_00736,GCF_002072735.1_NZ_CP020367_00737,GCF_002072735.1_NZ_CP020367_00738,GCF_002072735.1_NZ_CP020367_00739",6,"BREX__brxE,BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA","BSK2_RS03675,WP_075749467.1,WP_080529021.1,BSK2_RS03690,BSK2_RS03695,WP_080529024.1",Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,GCF_002072735_NZ_CP020367_BREX_VI_2
GCF_023008345.1_NZ_CP094679,BREX,BREX_I,GCF_023008345.1_NZ_CP094679_01226,GCF_023008345.1_NZ_CP094679_01229,"GCF_023008345.1_NZ_CP094679_01226,GCF_023008345.1_NZ_CP094679_01227,GCF_023008345.1_NZ_CP094679_01228,GCF_023008345.1_NZ_CP094679_01229",4,"BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","K5I24_RS06135,K5I24_RS06140,WP_246945858.1,WP_246945860.1",Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea longicatena,GCF_023008345_NZ_CP094679_BREX_I_1
GCF_003072645.1_NZ_CP028897,BREX,BREX_III,GCF_003072645.1_NZ_CP028897_02920,GCF_003072645.1_NZ_CP028897_02927,"GCF_003072645.1_NZ_CP028897_02920,GCF_003072645.1_NZ_CP028897_02924,GCF_003072645.1_NZ_CP028897_02925,GCF_003072645.1_NZ_CP028897_02927",4,"BREX__pglZ3,BREX__brxHII,BREX__pglXI,BREX__brxF","DB847_RS14425,WP_199911576.1,WP_108651332.1,DB847_RS14460",Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Dongshaea,Dongshaea marina,GCF_003072645_NZ_CP028897_BREX_III_2
GCF_012113595.1_NZ_CP050831,BREX,BREX_IV,GCF_012113595.1_NZ_CP050831_02520,GCF_012113595.1_NZ_CP050831_02523,"GCF_012113595.1_NZ_CP050831_02520,GCF_012113595.1_NZ_CP050831_02521,GCF_012113595.1_NZ_CP050831_02522,GCF_012113595.1_NZ_CP050831_02523",4,"BREX__brxP,BREX__brxC4,BREX__pglZ4,BREX__brxL","WP_167963302.1,WP_167963304.1,BacF7301_RS12660,BacF7301_RS12665",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecium,GCF_012113595_NZ_CP050831_BREX_IV_1
GCF_011404475.1_NZ_AP021893,BREX,BREX_I,GCF_011404475.1_NZ_AP021893_03997,GCF_011404475.1_NZ_AP021893_04002,"GCF_011404475.1_NZ_AP021893_03997,GCF_011404475.1_NZ_AP021893_03998,GCF_011404475.1_NZ_AP021893_03999,GCF_011404475.1_NZ_AP021893_04000,GCF_011404475.1_NZ_AP021893_04001,GCF_011404475.1_NZ_AP021893_04002",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","HRR20_RS19805,HRR20_RS19810,HRR20_RS19815,HRR20_RS19820,WP_000566901.1,WP_086538008.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_011404475_NZ_AP021893_BREX_I_2
GCF_013874375.1_NZ_CP059408,BREX,BREX_I,GCF_013874375.1_NZ_CP059408_00958,GCF_013874375.1_NZ_CP059408_00964,"GCF_013874375.1_NZ_CP059408_00958,GCF_013874375.1_NZ_CP059408_00959,GCF_013874375.1_NZ_CP059408_00960,GCF_013874375.1_NZ_CP059408_00961,GCF_013874375.1_NZ_CP059408_00964",5,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxA_DUF1819","H1A11_RS04965,WP_181757794.1,H1A11_RS04975,WP_181757796.1,WP_181758074.1",Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. CACC 737,GCF_013874375_NZ_CP059408_BREX_I_2
GCF_002094405.3_NZ_CP095477,BREX,BREX_II,GCF_002094405.3_NZ_CP095477_00803,GCF_002094405.3_NZ_CP095477_00809,"GCF_002094405.3_NZ_CP095477_00803,GCF_002094405.3_NZ_CP095477_00804,GCF_002094405.3_NZ_CP095477_00806,GCF_002094405.3_NZ_CP095477_00807,GCF_002094405.3_NZ_CP095477_00808,GCF_002094405.3_NZ_CP095477_00809",6,"BREX__pglW,BREX__pglX2,BREX__pglY,BREX__pglZ2,BREX__brxD,BREX__brxHI","WP_226347488.1,A6I88_RS04020,WP_084960882.1,A6I88_RS04035,A6I88_RS04040,WP_084846696.1",Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,Prescottella equi,GCF_002094405_NZ_CP095477_BREX_II_2
GCF_012113635.1_NZ_CP050826,BREX,BREX_I,GCF_012113635.1_NZ_CP050826_04519,GCF_012113635.1_NZ_CP050826_04526,"GCF_012113635.1_NZ_CP050826_04519,GCF_012113635.1_NZ_CP050826_04520,GCF_012113635.1_NZ_CP050826_04521,GCF_012113635.1_NZ_CP050826_04522,GCF_012113635.1_NZ_CP050826_04525,GCF_012113635.1_NZ_CP050826_04526",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_117108863.1,WP_103199125.1,HC649_RS22910,HC649_RS22915,HC649_RS22930,HC649_RS22935",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,GCF_012113635_NZ_CP050826_BREX_I_2
GCF_001021385.1_NZ_CP011773,BREX,BREX_II,GCF_001021385.1_NZ_CP011773_00950,GCF_001021385.1_NZ_CP011773_00955,"GCF_001021385.1_NZ_CP011773_00950,GCF_001021385.1_NZ_CP011773_00951,GCF_001021385.1_NZ_CP011773_00952,GCF_001021385.1_NZ_CP011773_00953,GCF_001021385.1_NZ_CP011773_00954,GCF_001021385.1_NZ_CP011773_00955",6,"BREX__brxHI,BREX__brxD,BREX__pglZ2,BREX__pglY,BREX__pglX2,BREX__pglW","WP_047328960.1,AB431_RS04715,AB431_RS04720,WP_047333090.1,AB431_RS04730,AB431_RS04735",Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. EPa45,GCF_001021385_NZ_CP011773_BREX_II_2
GCF_019048245.1_NZ_CP077308,BREX,BREX_I,GCF_019048245.1_NZ_CP077308_00399,GCF_019048245.1_NZ_CP077308_00406,"GCF_019048245.1_NZ_CP077308_00399,GCF_019048245.1_NZ_CP077308_00400,GCF_019048245.1_NZ_CP077308_00403,GCF_019048245.1_NZ_CP077308_00404,GCF_019048245.1_NZ_CP077308_00405,GCF_019048245.1_NZ_CP077308_00406",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","I6L63_RS01990,I6L63_RS01995,I6L63_RS02010,I6L63_RS02015,WP_006812018.1,WP_032674058.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei,GCF_019048245_NZ_CP077308_BREX_I_2
GCF_013735895.1_NZ_CP056425,BREX,BREX_I,GCF_013735895.1_NZ_CP056425_04875,GCF_013735895.1_NZ_CP056425_04880,"GCF_013735895.1_NZ_CP056425_04875,GCF_013735895.1_NZ_CP056425_04876,GCF_013735895.1_NZ_CP056425_04877,GCF_013735895.1_NZ_CP056425_04878,GCF_013735895.1_NZ_CP056425_04879,GCF_013735895.1_NZ_CP056425_04880",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_087855860.1,WP_014837242.1,HV227_RS24310,HV227_RS24315,HV227_RS24320,HV227_RS24325",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,GCF_013735895_NZ_CP056425_BREX_I_2
GCF_022591895.1_NZ_CP093250,BREX,BREX_I,GCF_022591895.1_NZ_CP093250_00151,GCF_022591895.1_NZ_CP093250_00158,"GCF_022591895.1_NZ_CP093250_00151,GCF_022591895.1_NZ_CP093250_00152,GCF_022591895.1_NZ_CP093250_00153,GCF_022591895.1_NZ_CP093250_00156,GCF_022591895.1_NZ_CP093250_00157,GCF_022591895.1_NZ_CP093250_00158",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_241543888.1,WP_241542955.1,MNY64_RS16755,MNY64_RS16770,MNY64_RS16775,MNY64_RS16780",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Moellerella,Moellerella wisconsensis,GCF_022591895_NZ_CP093250_BREX_I_2
GCF_021654355.1_NZ_AP025277,BREX,BREX_I,GCF_021654355.1_NZ_AP025277_00701,GCF_021654355.1_NZ_AP025277_00713,"GCF_021654355.1_NZ_AP025277_00701,GCF_021654355.1_NZ_AP025277_00702,GCF_021654355.1_NZ_AP025277_00703,GCF_021654355.1_NZ_AP025277_00706,GCF_021654355.1_NZ_AP025277_00709,GCF_021654355.1_NZ_AP025277_00712,GCF_021654355.1_NZ_AP025277_00713",7,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_017783370.1,WP_139392568.1,L6424_RS03515,L6424_RS03530,L6424_RS03545,L6424_RS03560,L6424_RS03565",Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,GCF_021654355_NZ_AP025277_BREX_I_2
GCF_012934535.1_NZ_CP051725,BREX,BREX_I,GCF_012934535.1_NZ_CP051725_04168,GCF_012934535.1_NZ_CP051725_04173,"GCF_012934535.1_NZ_CP051725_04168,GCF_012934535.1_NZ_CP051725_04169,GCF_012934535.1_NZ_CP051725_04170,GCF_012934535.1_NZ_CP051725_04171,GCF_012934535.1_NZ_CP051725_04172,GCF_012934535.1_NZ_CP051725_04173",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","HHJ29_RS20645,HHJ29_RS20650,HHJ29_RS20655,HHJ29_RS20660,WP_000566901.1,WP_077907039.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_012934535_NZ_CP051725_BREX_I_2
GCF_013284375.2_NZ_CP085874,BREX,BREX_III,GCF_013284375.2_NZ_CP085874_01200,GCF_013284375.2_NZ_CP085874_01205,"GCF_013284375.2_NZ_CP085874_01200,GCF_013284375.2_NZ_CP085874_01202,GCF_013284375.2_NZ_CP085874_01203,GCF_013284375.2_NZ_CP085874_01205",4,"BREX__brxF,BREX__pglXI,BREX__pglZ3,BREX__brxHII","HP435_RS06000,WP_217365617.1,HP435_RS06015,WP_173598484.1",Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus sp. HD3.3A,GCF_013284375_NZ_CP085874_BREX_III_2
GCF_023700225.1_NZ_CP097897,BREX,BREX_I,GCF_023700225.1_NZ_CP097897_00534,GCF_023700225.1_NZ_CP097897_00541,"GCF_023700225.1_NZ_CP097897_00534,GCF_023700225.1_NZ_CP097897_00535,GCF_023700225.1_NZ_CP097897_00536,GCF_023700225.1_NZ_CP097897_00537,GCF_023700225.1_NZ_CP097897_00540,GCF_023700225.1_NZ_CP097897_00541",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_250934562.1,WP_250934563.1,CHL1_RS02680,CHL1_RS02685,CHL1_RS02700,CHL1_RS02705",Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium wieringae,GCF_023700225_NZ_CP097897_BREX_I_3
GCF_023700225.1_NZ_CP097897,BREX,BREX_I,GCF_023700225.1_NZ_CP097897_00554,GCF_023700225.1_NZ_CP097897_00561,"GCF_023700225.1_NZ_CP097897_00554,GCF_023700225.1_NZ_CP097897_00556,GCF_023700225.1_NZ_CP097897_00557,GCF_023700225.1_NZ_CP097897_00558,GCF_023700225.1_NZ_CP097897_00559,GCF_023700225.1_NZ_CP097897_00560,GCF_023700225.1_NZ_CP097897_00561",7,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_250934579.1,WP_250936216.1,CHL1_RS02785,WP_250934581.1,CHL1_RS02795,CHL1_RS02800,CHL1_RS02805",Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium wieringae,GCF_023700225_NZ_CP097897_BREX_I_4
GCF_000696675.2_NZ_CP007255,BREX,BREX_I,GCF_000696675.2_NZ_CP007255_00569,GCF_000696675.2_NZ_CP007255_00574,"GCF_000696675.2_NZ_CP007255_00569,GCF_000696675.2_NZ_CP007255_00570,GCF_000696675.2_NZ_CP007255_00571,GCF_000696675.2_NZ_CP007255_00572,GCF_000696675.2_NZ_CP007255_00573,GCF_000696675.2_NZ_CP007255_00574",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","H351_RS02840,H351_RS02845,H351_RS02850,H351_RS02855,WP_029256830.1,WP_037119987.1",Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,GCF_000696675_NZ_CP007255_BREX_I_2
GCF_020099375.1_NZ_CP083658,BREX,BREX_I,GCF_020099375.1_NZ_CP083658_00924,GCF_020099375.1_NZ_CP083658_00930,"GCF_020099375.1_NZ_CP083658_00924,GCF_020099375.1_NZ_CP083658_00925,GCF_020099375.1_NZ_CP083658_00927,GCF_020099375.1_NZ_CP083658_00928,GCF_020099375.1_NZ_CP083658_00929,GCF_020099375.1_NZ_CP083658_00930",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","LA331_RS04635,LA331_RS04640,LA331_RS04650,LA331_RS04655,WP_004281985.1,WP_224213994.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter variabilis,GCF_020099375_NZ_CP083658_BREX_I_2
GCF_011492925.1_NZ_CP049979,BREX,BREX_I,GCF_011492925.1_NZ_CP049979_01391,GCF_011492925.1_NZ_CP049979_01396,"GCF_011492925.1_NZ_CP049979_01391,GCF_011492925.1_NZ_CP049979_01392,GCF_011492925.1_NZ_CP049979_01393,GCF_011492925.1_NZ_CP049979_01394,GCF_011492925.1_NZ_CP049979_01395,GCF_011492925.1_NZ_CP049979_01396",6,"BREX__brxL,BREX__pglZA,BREX__pglX1,BREX__brxC,BREX__brxB_DUF1788,BREX__brxA_DUF1819","HAP53_RS06925,HAP53_RS06930,HAP53_RS06935,HAP53_RS06940,WP_000566902.1,WP_023982161.1",Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_011492925_NZ_CP049979_BREX_I_2
GCF_002370375.1_NZ_AP017931,BREX,BREX_I,GCF_002370375.1_NZ_AP017931_00698,GCF_002370375.1_NZ_AP017931_00706,"GCF_002370375.1_NZ_AP017931_00698,GCF_002370375.1_NZ_AP017931_00699,GCF_002370375.1_NZ_AP017931_00700,GCF_002370375.1_NZ_AP017931_00701,GCF_002370375.1_NZ_AP017931_00705,GCF_002370375.1_NZ_AP017931_00706",6,"BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__pglX1,BREX__pglZA,BREX__brxL","WP_096584690.1,WP_035146117.1,CCX78_RS03480,CCX78_RS03485,CCX78_RS03505,CCX78_RS03510",Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,GCF_002370375_NZ_AP017931_BREX_I_2
